Timestamp,O1,O2,O3,O4,O5,O6,O7,O8,O9,O10,Dietary Restrictions,Feedback
10/18/2024 16:53:29,4,1,2,1,2,1,4,2,,4,"Food Allergies (Nuts, Fish/Shellfish, Eggs, Soy, etc)",
10/18/2024 16:54:02,5,1,5,5,5,5,5,5,5,5,None,
10/18/2024 16:55:14,2,3,2,1,1,1,1,1,1,2,None,
10/18/2024 16:56:24,2,4,4,1,1,2,1,1,2,3,None,"You can improve the survey by asking students what their preferred meal to add to menu would be, if they were to choose one."
10/18/2024 16:56:54,3,2,4,1,4,2,3,1,2,2,None,bosco sticks are the best lunch 
10/18/2024 16:57:29,2,4,4,1,1,2,1,1,2,3,None,"Don't make it mandatory to get a fruit. A lot of the fruits like apples and carrots just get thrown in the trash. Some people like fruits, and I think it should be optional."
10/18/2024 17:02:09,3,4,4,4,1,3,4,3,3,2,"Vegetarian, Vegan, ",
10/18/2024 17:04:07,1,5,5,3,1,1,1,1,5,5,I only eat poultry so like chicken and Turkey ,
10/18/2024 17:13:13,5,4,3,2,5,1,,,1,1,Chicken only meat,"Idk if you can still do this but last year we had some pesto cheese filled ravioli I think? Would love to see it back, by far better than any other item "
10/18/2024 17:15:21,1,4,2,3,1,1,1,1,4,1,None,Bring back the mediterranean chicken thigh with pita
10/18/2024 17:15:40,3,,2,,4,1,5,2,,3,None,
10/18/2024 17:17:50,5,3,4,2,5,5,1,1,,5,,
10/18/2024 17:41:28,2,4,2,1,1,1,1,2,1,1,None,Make quality food and cook the rice better
10/18/2024 17:54:37,4,2,4,1,1,3,2,1,1,1,None,Alright
10/18/2024 18:17:52,3,5,4,2,4,2,2,2,2,3,None,
10/18/2024 18:32:56,5,3,3,3,4,3,3,3,3,5,None,
10/18/2024 19:19:55,4,3,3,2,3,1,4,3,1,3,None,none
10/18/2024 19:51:03,3,,,,2,1,,,,3,"Vegetarian, No eggs and geletain",
10/18/2024 19:56:45,2,4,3,1,4,1,1,3,4,4,Kosher,Please no grilled cheeses.  And label the kind of meat that's on the food
10/18/2024 21:04:23,4,4,4,2,2,2,2,2,2,4,None,The lines are so long. I don’t have enough time to get food and also have time with my friends
10/18/2024 21:27:33,3,3,5,3,3,1,3,3,3,4,None,
10/18/2024 21:52:49,5,5,5,3,5,5,5,5,5,5,None,
10/18/2024 21:59:50,3,3,4,2,2,3,5,1,1,3,None,Less weird fruits and maybe a meatball sandwich type of thing?
10/18/2024 22:09:44,4,4,2,1,4,1,2,2,1,4,Lactose Intolerant,
10/18/2024 22:20:41,5,3,5,1,3,1,1,1,1,1,None,
10/18/2024 23:18:39,3,2,3,4,1,2,3,3,4,2,"Gluten-free, Lactose Intolerant, Dairy Free, Low processed sugar ",Reduce processed foods 
10/18/2024 23:43:25,2,3,5,,,2,1,,,3,None,
10/18/2024 23:54:33,4,4,4,4,4,4,4,4,4,4,None,
10/19/2024 1:16:27,5,3,4,1,5,5,3,1,2,5,None,"please please do something abt the wait time, it takes half of lunch just to get food"
10/19/2024 5:33:07,2,,,,1,1,,,,3,Vegetarian,Please include more vegetarian options. Only parfaits sandwiches are a secondary option for us to eat if the main lunch is gone. 
10/19/2024 5:39:08,5,2,5,4,4,2,4,1,2,5,"Lactose Intolerant, Dairy Free",
10/19/2024 5:58:34,2,3,3,1,1,1,1,1,1,2,None,BRING CHOCOLATE MILK BACK
10/19/2024 7:58:07,3,1,1,1,4,1,1,5,2,1,None,
10/19/2024 8:17:31,5,4,4,3,4,4,3,2,1,4,None,
10/19/2024 9:31:24,1,1,1,1,1,1,1,1,1,1,Pork Free foods ,Not sure if I missed it but no where does the survey explain what the number scale means. I assumed 1 is worst and 5 is best?
10/19/2024 9:48:44,3,5,3,5,4,3,3,3,5,5,"Food Allergies (Nuts, Fish/Shellfish, Eggs, Soy, etc)",cheeseburgers and chicken sandwich are yum
10/19/2024 10:11:48,4,1,4,1,4,4,1,1,1,2,"None, Dairy Free",
10/19/2024 10:55:17,3,1,1,1,4,1,1,1,1,3,Vegetarian,
10/19/2024 11:46:20,3,,,,4,1,,,,4,Vegetarian,Better vegetarian options bc most of it is just salads bread and cheese 
10/19/2024 12:11:29,3,5,2,3,2,1,3,3,4,4,None,
10/19/2024 12:58:39,3,,,,5,1,,,,4,Vegetarian,N/A
10/19/2024 13:09:46,5,5,5,5,2,3,3,1,1,4,,
10/19/2024 14:14:08,5,1,1,1,4,4,1,1,1,5,Vegetarian,
10/19/2024 14:43:59,3,2,3,4,4,3,5,4,5,2,None,"I like how we have a wider selection of meals coming in as a Freshman. The school lunch here is definitely better than my middle school lunch, but I just wish some of the bread wasn't still so dry, which makes it look clearly like it was microwaved. Also, my favorite lunch item would be Bosco Sticks."
10/19/2024 20:03:12,4,,,,2,1,,,,3,Vegetarian,Less sodium in the meals
10/19/2024 20:34:25,3,3,3,3,4,3,2,4,2,4,None,
10/19/2024 23:52:18,5,4,4,3,3,,,2,1,3,None,
10/20/2024 1:03:17,5,2,4,2,3,1,1,1,1,5,None,
10/20/2024 10:36:23,3,2,3,2,2,2,2,1,2,2,None,
10/20/2024 11:51:47,,,,,2,2,,2,,1,None,
